"106年07月28日 自營商買賣超彙總表"
,,"自營商(自行買賣)",,,"自營商(避險)",,,"自營商",,,
"證券代號","證券名稱","買進股數","賣出股數","買賣超股數","買進股數","賣出股數","買賣超股數","買進股數","賣出股數","買賣超股數",
="00672L","元大S&P原油正2  ","0","0","0","36,363,000","1,261,000","35,102,000","36,363,000","1,261,000","35,102,000",
="00632R","元大台灣50反1   ","550,000","1,710,000","-1,160,000","29,685,000","3,397,000","26,288,000","30,235,000","5,107,000","25,128,000",
="00676R","富邦臺灣加權反1 ","1,000,000","0","1,000,000","11,213,000","3,399,000","7,814,000","12,213,000","3,399,000","8,814,000",
="00642U","元大S&P石油     ","0","0","0","5,513,000","385,000","5,128,000","5,513,000","385,000","5,128,000",
"2344  ","華邦電          ","89,000","20,000","69,000","4,415,000","502,000","3,913,000","4,504,000","522,000","3,982,000",
="03383P","臺股指統一71售04","0","0","0","3,874,000","200,000","3,674,000","3,874,000","200,000","3,674,000",
="055461","台橡統一69購01  ","0","0","0","3,712,000","78,000","3,634,000","3,712,000","78,000","3,634,000",
="057954","元油2X元大69購03","0","0","0","3,200,000","0","3,200,000","3,200,000","0","3,200,000",
="062245","瑞智元大71購01  ","0","0","0","3,232,000","425,000","2,807,000","3,232,000","425,000","2,807,000",
="060235","敦泰兆豐6C購02  ","0","0","0","2,723,000","47,000","2,676,000","2,723,000","47,000","2,676,000",
="060391","可成元大6B購06  ","0","0","0","4,091,000","1,501,000","2,590,000","4,091,000","1,501,000","2,590,000",
="056888","日月光凱基68購01","0","0","0","2,571,000","0","2,571,000","2,571,000","0","2,571,000",
="059582","大立光元大6A購12","0","0","0","2,707,000","245,000","2,462,000","2,707,000","245,000","2,462,000",
="03587P","敦泰群益71售01  ","0","0","0","2,466,000","43,000","2,423,000","2,466,000","43,000","2,423,000",
="060831","TPK永豐6B購05   ","0","0","0","2,417,000","63,000","2,354,000","2,417,000","63,000","2,354,000",
="056837","元大金元富68購01","0","0","0","2,329,000","19,000","2,310,000","2,329,000","19,000","2,310,000",
="060286","大立光元大6B購04","0","0","0","2,273,000","52,000","2,221,000","2,273,000","52,000","2,221,000",
="08959P","群創國泰6B售02  ","0","0","0","2,400,000","212,000","2,188,000","2,400,000","212,000","2,188,000",
="061699","大同統一6C購01  ","0","0","0","2,864,000","699,000","2,165,000","2,864,000","699,000","2,165,000",
="061402","創意康和6C購01  ","0","0","0","2,232,000","91,000","2,141,000","2,232,000","91,000","2,141,000",
="062535","瑞智元大74購01  ","0","0","0","2,580,000","441,000","2,139,000","2,580,000","441,000","2,139,000",
="059755","台橡元大6C購01  ","0","0","0","2,304,000","177,000","2,127,000","2,304,000","177,000","2,127,000",
="058733","乙盛國泰6B購01  ","0","0","0","2,206,000","134,000","2,072,000","2,206,000","134,000","2,072,000",
="060093","台郡永豐6C購01  ","0","0","0","2,586,000","642,000","1,944,000","2,586,000","642,000","1,944,000",
="03602P","台灣50國泰6C售01","0","0","0","2,082,000","160,000","1,922,000","2,082,000","160,000","1,922,000",
="060279","瑞智凱基6B購01  ","0","0","0","2,176,000","339,000","1,837,000","2,176,000","339,000","1,837,000",
="061508","可成凱基6C購02  ","0","0","0","2,138,000","320,000","1,818,000","2,138,000","320,000","1,818,000",
="060202","台郡元大71購02  ","0","0","0","3,467,000","1,672,000","1,795,000","3,467,000","1,672,000","1,795,000",
="00637L","元大滬深300正2  ","0","0","0","11,099,000","9,370,000","1,729,000","11,099,000","9,370,000","1,729,000",
